Name,Team,Age,K%,BB%,OPS,GB%,O-Swing%,Swing%,Hard%,playerid,year
Maikel Franco,KCR,27,0.156,0.066,0.778,0.460,0.342,0.499,0.328,12179,2020
Whit Merrifield,KCR,31,0.125,0.045,0.764,0.369,0.324,0.491,0.231,11281,2020
Max Kepler,MIN,27,0.184,0.112,0.76,0.324,0.274,0.448,0.324,12144,2020
Andrew McCutchen,PHI,33,0.199,0.091,0.757,0.347,0.249,0.407,0.400,9847,2020
Hunter Dozier,KCR,28,0.258,0.145,0.736,0.364,0.274,0.419,0.300,15117,2020
Anthony Rizzo,CHC,30,0.156,0.115,0.755,0.382,0.333,0.424,0.353,3473,2020
Francisco Lindor,CLE,26,0.154,0.090,0.75,0.385,0.343,0.486,0.305,12916,2020
Miguel Cabrera,DET,37,0.221,0.104,0.746,0.419,0.323,0.476,0.303,1744,2020
Asdrubal Cabrera,WSN,34,0.188,0.089,0.753,0.438,0.325,0.458,0.370,4962,2020
Nick Ahmed,ARI,30,0.212,0.083,0.729,0.517,0.318,0.480,0.281,12147,2020
Orlando Arcia,MIL,25,0.169,0.074,0.734,0.461,0.286,0.465,0.366,13185,2020
Miguel Sano,MIN,27,0.439,0.088,0.757,0.365,0.310,0.473,0.479,12164,2020
Carlos Santana,CLE,34,0.169,0.184,0.699,0.427,0.189,0.362,0.341,2396,2020
Max Muncy,LAD,29,0.242,0.157,0.72,0.441,0.183,0.366,0.414,13301,2020
Luis Robert,CHW,22,0.322,0.088,0.738,0.374,0.431,0.573,0.298,20043,2020
Matt Olson,OAK,26,0.314,0.139,0.734,0.351,0.235,0.425,0.429,14344,2020
Ketel Marte,ARI,26,0.108,0.036,0.732,0.460,0.333,0.450,0.325,13613,2020
Ramon Laureano,OAK,25,0.261,0.108,0.704,0.430,0.270,0.402,0.328,17128,2020
Yoan Moncada,CHW,25,0.312,0.121,0.705,0.403,0.290,0.427,0.323,17232,2020
Corey Dickerson,MIA,31,0.167,0.071,0.713,0.522,0.365,0.533,0.308,10762,2020
Carlos Correa,HOU,25,0.222,0.072,0.709,0.497,0.339,0.470,0.359,14162,2020
Nolan Arenado,COL,29,0.100,0.075,0.738,0.373,0.351,0.482,0.343,9777,2020
Evan Longoria,SFG,34,0.187,0.053,0.722,0.497,0.297,0.450,0.382,9368,2020
Ryan McMahon,COL,25,0.342,0.093,0.714,0.505,0.292,0.468,0.402,15112,2020
Isiah Kiner-Falefa,TEX,25,0.140,0.061,0.699,0.620,0.302,0.474,0.294,16512,2020
Victor Reyes,DET,25,0.211,0.042,0.706,0.458,0.438,0.541,0.268,15487,2020
Kyle Schwarber,CHC,27,0.295,0.134,0.701,0.508,0.298,0.426,0.408,16478,2020
Austin Riley,ATL,23,0.238,0.078,0.716,0.417,0.371,0.541,0.336,18360,2020
Adalberto Mondesi,KCR,24,0.300,0.047,0.71,0.485,0.375,0.538,0.364,13769,2020
Kolten Wong,STL,29,0.144,0.096,0.675,0.497,0.273,0.429,0.247,12532,2020
Josh Reddick,HOU,33,0.200,0.095,0.693,0.361,0.283,0.463,0.279,3892,2020
Keston Hiura,MIL,23,0.346,0.065,0.707,0.425,0.350,0.501,0.291,20003,2020
Rio Ruiz,BAL,26,0.225,0.083,0.713,0.471,0.318,0.520,0.312,14103,2020
J.P. Crawford,SEA,25,0.168,0.099,0.674,0.440,0.246,0.410,0.293,15491,2020
Tommy Edman,STL,25,0.211,0.070,0.685,0.510,0.292,0.425,0.291,19470,2020
Hanser Alberto,BAL,27,0.130,0.022,0.698,0.440,0.540,0.617,0.212,11902,2020
Marcus Semien,OAK,29,0.212,0.106,0.679,0.329,0.243,0.440,0.280,12533,2020
Nick Solak,TEX,25,0.180,0.077,0.671,0.488,0.292,0.438,0.351,19294,2020
Joey Gallo,TEX,26,0.350,0.128,0.679,0.266,0.227,0.436,0.412,14128,2020
Avisail Garcia,MIL,29,0.237,0.097,0.659,0.485,0.388,0.546,0.273,5760,2020
Adam Frazier,PIT,28,0.152,0.074,0.661,0.437,0.275,0.458,0.251,15223,2020
J.D. Martinez,BOS,32,0.249,0.093,0.68,0.351,0.342,0.519,0.357,6184,2020
Jorge Polanco,MIN,26,0.155,0.058,0.658,0.360,0.276,0.436,0.243,13152,2020
Josh Bell,PIT,27,0.265,0.099,0.669,0.557,0.305,0.460,0.414,13145,2020
Yuli Gurriel,HOU,36,0.117,0.052,0.658,0.381,0.378,0.488,0.360,19198,2020
Jose Altuve,HOU,30,0.186,0.081,0.629,0.493,0.382,0.496,0.307,5417,2020
Bryan Reynolds,PIT,25,0.274,0.101,0.632,0.438,0.313,0.466,0.375,19326,2020
Victor Robles,WSN,23,0.280,0.048,0.608,0.354,0.342,0.492,0.212,18363,2020
Marwin Gonzalez,MIN,31,0.206,0.085,0.606,0.409,0.300,0.428,0.261,5497,2020
Jonathan Villar,- - -,29,0.261,0.092,0.593,0.598,0.368,0.513,0.261,10071,2020
Erik Gonzalez,PIT,28,0.264,0.041,0.614,0.474,0.390,0.534,0.328,13369,2020
Evan White,SEA,24,0.416,0.089,0.599,0.429,0.284,0.438,0.343,20078,2020
Eduardo Escobar,ARI,31,0.185,0.068,0.605,0.360,0.369,0.513,0.299,6153,2020
Javier Baez,CHC,27,0.319,0.030,0.599,0.497,0.406,0.529,0.362,12979,2020
Nicky Lopez,KCR,25,0.214,0.094,0.552,0.552,0.281,0.442,0.229,19339,2020
