Name,Team,Age,K%,BB%,OPS,GB%,O-Swing%,Swing%,Hard%,playerid,year
Jose Altuve,HOU,23,0.126,0.048,0.678,0.492,0.370,0.486,0.260,5417,2013
Brandon Crawford,SFG,26,0.175,0.076,0.674,0.493,0.315,0.470,0.246,5343,2013
Elvis Andrus,TEX,24,0.139,0.074,0.659,0.563,0.244,0.395,0.259,8709,2013
Jimmy Rollins,PHI,34,0.140,0.089,0.667,0.379,0.264,0.428,0.232,971,2013
Zack Cozart,CIN,27,0.165,0.042,0.665,0.503,0.301,0.470,0.234,2616,2013
Eric Young Jr.,- - -,28,0.167,0.077,0.645,0.545,0.278,0.464,0.224,7158,2013
Mike Moustakas,KCR,24,0.161,0.062,0.651,0.366,0.347,0.490,0.249,4892,2013
Ichiro Suzuki,NYY,39,0.114,0.047,0.639,0.523,0.369,0.502,0.157,1101,2013
Starlin Castro,CHC,23,0.183,0.043,0.631,0.507,0.329,0.472,0.314,4579,2013
Darwin Barney,CHC,27,0.115,0.065,0.569,0.455,0.307,0.458,0.201,2430,2013
Adeiny Hechavarria,MIA,24,0.166,0.052,0.565,0.518,0.360,0.495,0.223,10459,2013
Alcides Escobar,KCR,26,0.131,0.030,0.559,0.460,0.377,0.505,0.209,6310,2013
